market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-TFUEL,2019-11-10T00:00:00,2019-11-10T09:00:00,3.99,4.01,3.86,3.99,1573430325990,154509636.64211947,39368969.30887628,3.99,,0.0
KRW-TFUEL,2019-11-09T00:00:00,2019-11-09T09:00:00,3.95,4.02,3.9,3.99,1573343865345,55404978.04784392,14018212.7488723,3.95,0.04,0.0101265823
KRW-TFUEL,2019-11-08T00:00:00,2019-11-08T09:00:00,4.13,4.19,3.88,3.95,1573256679888,277947050.8521021,69415118.27630068,4.12,-0.17,-0.0412621359
KRW-TFUEL,2019-11-07T00:00:00,2019-11-07T09:00:00,4.0,4.25,3.96,4.12,1573171049642,517750252.06832385,125359307.0549269,4.01,0.11,0.0274314214
KRW-TFUEL,2019-11-06T00:00:00,2019-11-06T09:00:00,4.1,4.12,4.0,4.01,1573084742262,92186211.72940087,22772127.8885025,4.1,-0.09,-0.0219512195
KRW-TFUEL,2019-11-05T00:00:00,2019-11-05T09:00:00,4.17,4.17,3.97,4.1,1572998308520,217713226.00224409,53661674.4147765,4.15,-0.05,-0.0120481928
KRW-TFUEL,2019-11-04T00:00:00,2019-11-04T09:00:00,4.06,4.22,4.02,4.15,1572911711544,359582403.98605216,87088875.01903436,4.03,0.12,0.0297766749
KRW-TFUEL,2019-11-03T00:00:00,2019-11-03T09:00:00,4.07,4.1,3.96,4.03,1572825378470,119800055.48627856,29681878.08399759,4.07,-0.04,-0.0098280098
KRW-TFUEL,2019-11-02T00:00:00,2019-11-02T09:00:00,4.07,4.14,3.99,4.07,1572739182356,159154844.5678052,39260489.90770553,4.07,,0.0
KRW-TFUEL,2019-11-01T00:00:00,2019-11-01T09:00:00,3.98,4.23,3.96,4.07,1572652702077,367122662.7652788,90698618.66150562,3.97,0.1,0.0251889169
KRW-TFUEL,2019-10-31T00:00:00,2019-10-31T09:00:00,4.03,4.09,3.8,3.97,1572566271196,325076290.9722578,82205828.54328807,4.03,-0.06,-0.0148883375
KRW-TFUEL,2019-10-30T00:00:00,2019-10-30T09:00:00,4.17,4.3,3.9,4.03,1572479991049,191962406.21900004,46898452.40054233,4.16,-0.13,-0.03125
KRW-TFUEL,2019-10-29T00:00:00,2019-10-29T09:00:00,4.03,4.39,4.03,4.16,1572393594475,682539528.4246203,161678150.1961263,4.03,0.13,0.0322580645
KRW-TFUEL,2019-10-28T00:00:00,2019-10-28T09:00:00,3.89,4.16,3.82,4.03,1572307189388,580227838.4001528,145411956.72538835,3.88,0.15,0.0386597938
KRW-TFUEL,2019-10-27T00:00:00,2019-10-27T09:00:00,3.75,4.02,3.66,3.88,1572220767443,192639953.52425635,49956844.87788214,3.76,0.12,0.0319148936
KRW-TFUEL,2019-10-26T00:00:00,2019-10-26T09:00:00,3.92,4.02,3.65,3.76,1572134366350,169320264.8875033,44110752.57815802,3.88,-0.12,-0.0309278351
KRW-TFUEL,2019-10-25T00:00:00,2019-10-25T09:00:00,3.78,3.95,3.62,3.88,1572047891855,144682972.107197,38572041.80006051,3.76,0.12,0.0319148936
KRW-TFUEL,2019-10-24T00:00:00,2019-10-24T09:00:00,3.76,3.85,3.53,3.76,1571961520911,52455883.10384739,14272674.29393532,3.67,0.09,0.0245231608
KRW-TFUEL,2019-10-23T00:00:00,2019-10-23T09:00:00,3.97,4.08,3.55,3.67,1571875193752,107172893.86652878,27798627.02292785,3.97,-0.3,-0.0755667506
KRW-TFUEL,2019-10-22T00:00:00,2019-10-22T09:00:00,4.01,4.1,3.97,3.97,1571788786011,67383805.2846152,16746243.82514936,4.01,-0.04,-0.0099750623
KRW-TFUEL,2019-10-21T00:00:00,2019-10-21T09:00:00,4.0,4.15,3.88,4.01,1571702213109,118239390.31352793,29211956.89103875,4.0,0.01,0.0025
KRW-TFUEL,2019-10-20T00:00:00,2019-10-20T09:00:00,3.98,4.04,3.89,4.0,1571615968628,57954222.45168794,14634004.39253232,3.98,0.02,0.0050251256
KRW-TFUEL,2019-10-19T00:00:00,2019-10-19T09:00:00,3.94,4.08,3.9,3.98,1571529497861,51703004.83804616,13018295.08047751,3.91,0.07,0.0179028133
KRW-TFUEL,2019-10-18T00:00:00,2019-10-18T09:00:00,4.13,4.13,3.9,3.91,1571443078116,44152216.74683071,11064736.38212195,4.1,-0.19,-0.0463414634
KRW-TFUEL,2019-10-17T00:00:00,2019-10-17T09:00:00,4.02,4.15,3.95,4.1,1571356406476,41280715.46804849,10315832.28265326,4.02,0.08,0.0199004975
KRW-TFUEL,2019-10-16T00:00:00,2019-10-16T09:00:00,4.29,4.3,3.92,4.02,1571269736903,144408373.04649413,34914612.14586975,4.29,-0.27,-0.0629370629
KRW-TFUEL,2019-10-15T00:00:00,2019-10-15T09:00:00,4.19,4.49,4.12,4.29,1571183988535,157978228.7310841,36607708.04380645,4.19,0.1,0.0238663484
KRW-TFUEL,2019-10-14T00:00:00,2019-10-14T09:00:00,4.18,4.23,4.06,4.19,1571097518423,69242201.88155226,16732313.58701894,4.16,0.03,0.0072115385
KRW-TFUEL,2019-10-13T00:00:00,2019-10-13T09:00:00,4.39,4.39,4.11,4.16,1571010937817,131109963.94853683,30768907.04458355,4.35,-0.19,-0.0436781609
KRW-TFUEL,2019-10-12T00:00:00,2019-10-12T09:00:00,4.4,4.42,4.28,4.35,1570922937083,91460974.85549535,20976319.61799091,4.39,-0.04,-0.0091116173
KRW-TFUEL,2019-10-11T00:00:00,2019-10-11T09:00:00,4.41,4.56,4.25,4.39,1570838215376,269133466.8440849,61889027.03250086,4.4,-0.01,-0.0022727273
KRW-TFUEL,2019-10-10T00:00:00,2019-10-10T09:00:00,4.72,4.75,4.27,4.4,1570751989007,377310162.952208,83876296.9743956,4.71,-0.31,-0.0658174098
KRW-TFUEL,2019-10-09T00:00:00,2019-10-09T09:00:00,4.92,5.1,4.63,4.71,1570665593118,907933137.1877387,186765175.30045885,4.92,-0.21,-0.0426829268
KRW-TFUEL,2019-10-08T00:00:00,2019-10-08T09:00:00,4.77,6.18,4.55,4.92,1570579200051,1048394573.0477769,200231170.06373745,4.82,0.1,0.020746888
KRW-TFUEL,2019-10-07T00:00:00,2019-10-07T09:00:00,4.09,5.1,4.0,4.82,1570492789391,677432445.4141166,151128590.52755988,4.09,0.73,0.1784841076
KRW-TFUEL,2019-10-06T00:00:00,2019-10-06T09:00:00,4.1,4.37,3.91,4.09,1570406395873,451048839.16783947,107821454.29689582,4.08,0.01,0.0024509804
KRW-TFUEL,2019-10-05T00:00:00,2019-10-05T09:00:00,4.02,4.27,3.95,4.08,1570319965544,364789565.5721187,89614212.10096575,4.03,0.05,0.0124069479
KRW-TFUEL,2019-10-04T00:00:00,2019-10-04T09:00:00,4.0,4.03,3.85,4.03,1570232569811,106910121.1433857,27036629.11914364,3.98,0.05,0.0125628141
KRW-TFUEL,2019-10-03T00:00:00,2019-10-03T09:00:00,3.89,4.0,3.79,3.98,1570146940167,139023613.25184876,35639450.62131486,3.89,0.09,0.0231362468
KRW-TFUEL,2019-10-02T00:00:00,2019-10-02T09:00:00,3.9,3.91,3.74,3.89,1570060799691,126350167.6287148,32968096.68926969,3.9,-0.01,-0.0025641026
KRW-TFUEL,2019-10-01T00:00:00,2019-10-01T09:00:00,3.97,4.0,3.84,3.9,1569974372180,174838734.55589622,44637812.52000862,3.96,-0.06,-0.0151515152
KRW-TFUEL,2019-09-30T00:00:00,2019-09-30T09:00:00,3.98,3.98,3.72,3.96,1569887858650,233550243.10996822,60605279.77884142,3.98,-0.02,-0.0050251256
KRW-TFUEL,2019-09-29T00:00:00,2019-09-29T09:00:00,4.17,4.19,3.76,3.98,1569800888391,239670425.52372703,60319856.70538677,4.19,-0.21,-0.0501193317
KRW-TFUEL,2019-09-28T00:00:00,2019-09-28T09:00:00,4.13,4.51,4.07,4.19,1569715198181,1320918975.8179295,314574271.7868588,4.13,0.06,0.014527845
KRW-TFUEL,2019-09-27T00:00:00,2019-09-27T09:00:00,3.9,5.19,3.83,4.13,1569628796465,2090391298.183208,493067047.86803216,3.89,0.24,0.0616966581
KRW-TFUEL,2019-09-26T00:00:00,2019-09-26T09:00:00,4.18,4.42,2.5,3.89,1569542386645,195723044.02909377,55923016.87596907,4.16,-0.27,-0.0649038462
KRW-TFUEL,2019-09-25T00:00:00,2019-09-25T09:00:00,4.06,4.4,3.73,4.16,1569455806181,389022478.92005926,94646494.99365821,4.04,0.12,0.0297029703
KRW-TFUEL,2019-09-24T00:00:00,2019-09-24T09:00:00,4.87,4.99,3.44,4.04,1569369591738,266655814.36527383,60342007.47456473,4.84,-0.8,-0.1652892562
KRW-TFUEL,2019-09-23T00:00:00,2019-09-23T09:00:00,5.02,5.34,4.74,4.84,1569283128081,243379043.8289867,47890481.33184738,4.99,-0.15,-0.0300601202
KRW-TFUEL,2019-09-22T00:00:00,2019-09-22T09:00:00,5.25,5.26,4.89,4.99,1569196624341,157773871.34221712,31249183.50454778,5.25,-0.26,-0.0495238095
KRW-TFUEL,2019-09-21T00:00:00,2019-09-21T09:00:00,5.37,5.43,5.18,5.25,1569107642034,39330367.74994532,7441813.23079486,5.34,-0.09,-0.0168539326
KRW-TFUEL,2019-09-20T00:00:00,2019-09-20T09:00:00,5.48,5.5,5.1,5.34,1569023989773,82432462.93742202,15579325.02698339,5.45,-0.11,-0.0201834862
KRW-TFUEL,2019-09-19T00:00:00,2019-09-19T09:00:00,5.57,5.57,5.03,5.45,1568937544231,133685999.29611316,25230227.39514987,5.57,-0.12,-0.0215439856
KRW-TFUEL,2019-09-18T00:00:00,2019-09-18T09:00:00,5.2,5.59,5.13,5.57,1568851180503,224652936.58996102,42000010.04147754,5.2,0.37,0.0711538462
KRW-TFUEL,2019-09-17T00:00:00,2019-09-17T09:00:00,5.07,5.2,4.75,5.2,1568764655683,157765673.45325348,31848049.42706843,5.07,0.13,0.0256410256
KRW-TFUEL,2019-09-16T00:00:00,2019-09-16T09:00:00,5.13,5.15,4.89,5.07,1568678373399,120779018.93134797,24074800.48821812,5.1,-0.03,-0.0058823529
KRW-TFUEL,2019-09-15T00:00:00,2019-09-15T09:00:00,5.23,5.23,5.03,5.1,1568591989471,68034324.6316201,13306875.44842486,5.22,-0.12,-0.0229885057
KRW-TFUEL,2019-09-14T00:00:00,2019-09-14T09:00:00,5.19,5.23,5.1,5.22,1568505593740,67394074.79570302,13019623.15622926,5.2,0.02,0.0038461538
KRW-TFUEL,2019-09-13T00:00:00,2019-09-13T09:00:00,5.22,5.23,4.98,5.2,1568419196640,109689657.4038429,21373226.92508623,5.22,-0.02,-0.0038314176
KRW-TFUEL,2019-09-12T00:00:00,2019-09-12T09:00:00,5.21,5.28,4.9,5.22,1568332793334,192589038.42577508,37861831.37320965,5.25,-0.03,-0.0057142857
KRW-TFUEL,2019-09-11T00:00:00,2019-09-11T09:00:00,5.4,5.44,5.15,5.25,1568246311344,142562445.54015788,26966935.92528503,5.42,-0.17,-0.0313653137
KRW-TFUEL,2019-09-10T00:00:00,2019-09-10T09:00:00,5.52,5.54,5.34,5.42,1568159933768,163714938.9418639,30160850.30090314,5.52,-0.1,-0.018115942
KRW-TFUEL,2019-09-09T00:00:00,2019-09-09T09:00:00,5.54,5.6,5.34,5.52,1568073561579,264663322.38134676,48677948.75843929,5.57,-0.05,-0.0089766607
KRW-TFUEL,2019-09-08T00:00:00,2019-09-08T09:00:00,5.5,5.66,5.4,5.57,1567987191118,285703538.8462052,51835625.10945894,5.5,0.07,0.0127272727
KRW-TFUEL,2019-09-07T00:00:00,2019-09-07T09:00:00,5.32,5.5,5.23,5.5,1567900799827,130337786.29395749,24485560.75993068,5.3,0.2,0.0377358491
KRW-TFUEL,2019-09-06T00:00:00,2019-09-06T09:00:00,5.43,5.51,5.21,5.3,1567814385316,243075689.93635795,45198217.59860532,5.42,-0.12,-0.0221402214
KRW-TFUEL,2019-09-05T00:00:00,2019-09-05T09:00:00,5.5,5.66,5.36,5.42,1567727985268,337207848.5077756,61250480.82380739,5.49,-0.07,-0.0127504554
KRW-TFUEL,2019-09-04T00:00:00,2019-09-04T09:00:00,5.58,5.61,5.38,5.49,1567641588817,475477119.52421355,87000583.41146134,5.59,-0.1,-0.0178890877
KRW-TFUEL,2019-09-03T00:00:00,2019-09-03T09:00:00,5.63,5.71,5.51,5.59,1567555197620,319149735.8630684,57030714.30785015,5.63,-0.04,-0.0071047957
KRW-TFUEL,2019-09-02T00:00:00,2019-09-02T09:00:00,5.72,5.79,5.51,5.63,1567468631595,209856997.91748345,37360933.22149468,5.75,-0.12,-0.0208695652
KRW-TFUEL,2019-09-01T00:00:00,2019-09-01T09:00:00,5.78,5.89,5.61,5.75,1567382205511,167212073.6860145,29229693.22083584,5.78,-0.03,-0.0051903114
KRW-TFUEL,2019-08-31T00:00:00,2019-08-31T09:00:00,5.86,5.93,5.71,5.78,1567295907989,131561720.93932573,22608695.50356482,5.92,-0.14,-0.0236486486
KRW-TFUEL,2019-08-30T00:00:00,2019-08-30T09:00:00,5.9,6.28,5.7,5.92,1567209393280,258572429.44277695,44077401.3505374,5.9,0.02,0.0033898305
KRW-TFUEL,2019-08-29T00:00:00,2019-08-29T09:00:00,6.24,6.27,5.63,5.9,1567123197277,289115681.35646623,49715602.95856559,6.24,-0.34,-0.0544871795
KRW-TFUEL,2019-08-28T00:00:00,2019-08-28T09:00:00,6.85,7.03,5.87,6.24,1567035842460,398919779.9628979,61431623.22721805,6.88,-0.64,-0.0930232558
KRW-TFUEL,2019-08-27T00:00:00,2019-08-27T09:00:00,7.06,7.1,6.63,6.88,1566950394968,451403443.4711211,66206112.16838772,7.03,-0.15,-0.0213371266
KRW-TFUEL,2019-08-26T00:00:00,2019-08-26T09:00:00,7.53,7.69,6.91,7.03,1566863996349,1370413502.6625583,186530960.73720974,7.53,-0.5,-0.0664010624
KRW-TFUEL,2019-08-25T00:00:00,2019-08-25T09:00:00,7.05,8.79,7.05,7.53,1566777597053,4378215882.791719,562548869.7582965,7.05,0.48,0.0680851064
KRW-TFUEL,2019-08-24T00:00:00,2019-08-24T09:00:00,6.95,7.05,6.77,7.05,1566691173404,316023279.0247114,45798930.4682479,6.93,0.12,0.0173160173
KRW-TFUEL,2019-08-23T00:00:00,2019-08-23T09:00:00,6.78,7.04,6.63,6.93,1566604787235,415208495.8137479,60097076.74613863,6.79,0.14,0.0206185567
KRW-TFUEL,2019-08-22T00:00:00,2019-08-22T09:00:00,6.64,6.93,6.36,6.79,1566518398643,219811058.08556682,33352417.44978217,6.58,0.21,0.0319148936
KRW-TFUEL,2019-08-21T00:00:00,2019-08-21T09:00:00,7.01,7.02,6.36,6.58,1566431891949,182154991.8373128,27507751.04915667,6.95,-0.37,-0.0532374101
