market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-THETA,2021-03-15T00:00:00,2021-03-15T09:00:00,8545.0,8800.0,7440.0,7810.0,1615852799755,28244783068.386795,3502947.8702207,8560.0,-750.0,-0.0876168224
KRW-THETA,2021-03-14T00:00:00,2021-03-14T09:00:00,7875.0,9135.0,7580.0,8560.0,1615766399421,35925277157.15208,4258024.57106014,7890.0,670.0,0.0849176172
KRW-THETA,2021-03-13T00:00:00,2021-03-13T09:00:00,8055.0,8295.0,7410.0,7890.0,1615679998406,25647687473.262142,3301812.60100162,8055.0,-165.0,-0.0204841713
KRW-THETA,2021-03-12T00:00:00,2021-03-12T09:00:00,8070.0,8780.0,7325.0,8055.0,1615593598145,54176798752.66198,6756215.00774895,8070.0,-15.0,-0.0018587361
KRW-THETA,2021-03-11T00:00:00,2021-03-11T09:00:00,7500.0,9150.0,7200.0,8070.0,1615507196492,79767152558.67336,9944362.49420148,7500.0,570.0,0.076
KRW-THETA,2021-03-10T00:00:00,2021-03-10T09:00:00,6010.0,7740.0,5760.0,7500.0,1615420799890,31359536088.054565,4740526.76706677,6020.0,1480.0,0.2458471761
KRW-THETA,2021-03-09T00:00:00,2021-03-09T09:00:00,5640.0,6150.0,5555.0,6020.0,1615334397203,20489398328.608257,3521746.81078306,5640.0,380.0,0.0673758865
KRW-THETA,2021-03-08T00:00:00,2021-03-08T09:00:00,4930.0,5755.0,4865.0,5640.0,1615247997174,38007525701.57062,7077406.01736709,4955.0,685.0,0.1382441978
KRW-THETA,2021-03-07T00:00:00,2021-03-07T09:00:00,4785.0,5140.0,4770.0,4955.0,1615161590822,8727741050.606699,1763229.13596257,4795.0,160.0,0.0333680918
KRW-THETA,2021-03-06T00:00:00,2021-03-06T09:00:00,4800.0,4865.0,4455.0,4795.0,1615075195930,7363019135.792007,1570869.83912684,4800.0,-5.0,-0.0010416667
KRW-THETA,2021-03-05T00:00:00,2021-03-05T09:00:00,5220.0,5545.0,4695.0,4800.0,1614988798002,25268971144.77201,4922931.81015345,5195.0,-395.0,-0.0760346487
KRW-THETA,2021-03-04T00:00:00,2021-03-04T09:00:00,4595.0,5350.0,4430.0,5195.0,1614902396255,29788296511.49819,6133532.72384191,4580.0,615.0,0.134279476
